,randomized,question_url,course_code,question_id,inductive_coding_question_type,relevance_to_course_content,contextual,additional_notes_on_question,complexity_of_question,reason_for_complexity,Media,question_title,question_body,question_good_count,Time,instructor_answer,instructor_answer_good_count,instructor_task_completion,instructor_endorsement_for_instructor_answer,student_answer,student_answer_good_count,instructor_endorsement_for_student_answer,,,,,,,,,,,,,,,,,,,
129,125,https://piazza.com/class/ke5ei5tq8v3a7/post/019,COMP3711H,question @19,exercise_question,,,,,,0,EC 1 Incorporating k,"Are we allowed to immediately incorporate k in our answers for (A)? Furthermore, if we do this, are we still required to answer (B)?",0,Updated 3 years ago by Anonymous Atom,"No.

You must do Part A and B separately. Part( A) is worth at least half of the marks.

Because Part A has a fixed small value of k, it is much easier for you to write it clearly. I am expecting to check correctness by looking at Part (A).

In part (B) you can then add the extra few items needed to extend from k=3 to general k.


A big part of the grade for this will be clarity of exposition (which means how quickly I can read it and be sure of correctness). That is much easier to do for k=3 than general k.

regards,
mj golin


P.S. If you just copy your code from part B to part A, replacing k with 3 in every plce, that's not going to be clear enough",0,1,,,,,,,,,,,,,,,,,,,,,,,
130,694,https://piazza.com/class/ke5ei5tq8v3a7/post/023,COMP3711H,question @23,exercise_question,,yes,,,,0,Assignment 2 Q2,"Dear Professor,

I just want to confirm if ""item"" in this problem means key, so in (II) and (III), the input is a key and we have to find the node(s) that contain(s) the key or insert the key in some node (respectively). If yes, if more than one node contain the key do we have to find all the nodes in (II)? In (III), are we allowed to change the number of nodes?

Best,

Rubab",0,Updated 3 years ago by Loading...,"I just want to confirm if “item” in this problem means key,
Technically, no. It’s an item. Multiple items may have the same key. This can occur with Binary Search Trees as well. An item may be a record and multiple records might have the same key.

But, if it makes it simpler, for the sake of this problem, you may assume that all items have unique keys.
Just specify in advance that you are using that assumption.

so in (II) and (III), the input is a key and we have to find the node(s) that contain(s) the key
Or some node that contains the key (if there are multiple such nodes). The same as for BSTs)


or insert the key in some node (respectively).
Not exactly. In this last case you need to create a new tree that contains all the old keys and the new key.

The easiest way to do this is to try to insert the key into the appropriate leaf and then, if the resulting tree violates the rules, fix that.

If yes, if more than one node contain the key do we have to find all the nodes in (II)? In (III), are we allowed to change the number of nodes?
No. The resulting tree must contain exactly all of the old items in the tree as well as the new item that has been inserted

regards,
mj golin",3,2,,,,,,,,,,,,,,,,,,,,,,,
131,510,https://piazza.com/class/ke5ei5tq8v3a7/post/062,COMP3711H,question @62,exercise_question,,yes,,,,0,Assignment 6 q5,"After reading the hints for q5 I am more confused on ""negative weights"". does this mean we can trade 1 item i with negative numbers of item j? Or after some process to the V, it might have negative weights and you are reminding us for this case? 



If we can trade with only non-negative numbers, is it possible that there is an algorithm that does not need to process V which makes negative weight exists?


Thanks!",0,Updated 3 years ago by Loading...,">After reading the hints for q5 I am more confused on ""negative weights"".
>does this mean we can trade 1 item i with negative numbers of item j?
No, you can NOT trade a negative # of items.

> Or after some process to the V, it might have negative weights and you are reminding us for this case?

I meant this second approach. You might TRANSFORM the problem into one in which some edges have negative weights and the graph might or might not contain negative cycles.
More specifically you might want to use the approach of tutorial GR15 to create the transformation.

regards,
mj golin",0,1,,,,,,,,,,,,,,,,,,,,,,,
132,291,https://piazza.com/class/kjv25fqyx8y513/post/016,COMP3711,question @16,lecture,,,,,,0,insertion sort vs bubble sort,if the number of swaps performed by both insertion sort and bubble sort are equal to the inversion number of the array then why is insertion sort considered better?,1,Updated 3 years ago by Anonymous Comp,"From a purely swapped-based algorithmic analysis point of view, they're the same.

But, Bubble Sort is much harder to understand than the simple insertion sort and (because of that) also harder to code correctly. No contemporary computer scientist recommends it.

For many years it was taught as a first sort, No one is quite sure why and papers on computer science education have been written about this. See
https://users.cs.duke.edu/~ola/bubble/bubble.html

We absolutely don't recommend it
(We only introduce it in th etutorial to give you more practice in analysis; not as a recommendation for use)

regards,
mj golin",2,2,,,,,,,,,,,,,,,,,,,,,,,
133,353,https://piazza.com/class/kjv25fqyx8y513/post/019,COMP3711,question @19,exercise_question,,,,,,0,Question 2 Case n = 1,"For question 2, it is not required to solve problems with n = 1. However, when attempting to design my algorithm, I found the case n = 1 useful for solving boundary cases. So, can I add this to my code, and do I have to proof its correctness (especially for the base case of the induction proof)? If I have to, can I simply take reference to the hints (which is technically right-flipped by k = 1)?",0,Updated 3 years ago by Anonymous Helix,">For question 2, it is not required to solve problems with n = 1.
>However, when attempting to design my algorithm, I found the case n = 1 useful for solving boundary cases.
>So, can I add this to my code,
Yes, you may add this to your code

>and do I have to proof its correctness (especially for the base case of the induction proof)?
Yes, you would then need to prove correctness of this boundary case i


> If I have to, can I simply take reference to the hints (which is technically right-flipped by k = 1)?
Yes, you may reference that statement in the hints.

mj golin",0,1,,,,,,,,,,,,,,,,,,,,,,,
134,381,https://piazza.com/class/kjv25fqyx8y513/post/020,COMP3711,question @20,lecture,,,,,,0,Binary Search recurrence relation,"I am confused over why the number of comparisons T(n) of a binary search algorithm (pg 4, lec 2) is T(n) = T(n/2) + 1.

To be precise, I want to know where the +1 comes from since T(n) is the number of comparisons and I think O(1) should be referring to q which is not a 'if' condition",0,Updated 3 years ago by Anonymous Scale,That's right.The +1 is counting the comparison if $$x \le A[q]$$ that is made right before the recursive call.,1,2,,"For binary search, each recursion finds the median element (O(1)), compares with the element you want to find (O(1)) and goes into another subproblem (T(n/2)).",1,,,,,,,,,,,,,,,,,,,,
135,78,https://piazza.com/class/kjv25fqyx8y513/post/021,COMP3711,question @21,exercise_question,,yes,,,,1,Q1 induction,"[fig1] For Q1(a) (i) in HW1, can we follow this writing method (from one of the slides) to write the solution? If yes, then is it considered as using induction method? I thought it isn't because we are not writing in the ""base case: ... ; General step: ..."" kind of format, we just unfold all the terms and write out the exact total number. So I'm a bit confused with why Professor says it is using implicit induction? Thank you!",0,Updated 3 years ago by Anonymous Helix,"1) yes you can use that method for (a) (i)

2) The unfolding required to show that the general step is correct IS an induction step

More specifically, the general statement is that
$$(*) \quad T(n) = 2^i T(n-i) + \sum_{j=0}^{i-1} 2^j$$

Showing that this formally correct requires induction.

The base case is that it is true for $i=1$.

Now assume, by induction, that (*) is true for $i-1$, i.e,
$$T(n) = 2^{i-1}T(n-(i-1)) + \sum_{j=0}^{i-2}2^j$$

Then, expanding using the basic recurrence shoes that
$$T(n) = 2^{i-1} (2(T-(i-1) -1) +1) + \sum_{j=0}^{i-2}2^j = 2^i T(n-i) + 2^{i-1} + \sum_{j=0}^{i-2}2^j = 2^{i-1}T(n-i)) + \sum_{j=0}^{i-1}2^j$$,
i.e, (*) is true for $$i$$.

This is classic induction. But we don't usually write this out formally, which is why we say that it is implicit.",2,2,,,,,,,,,,,,,,,,,,,,,,,
136,202,https://piazza.com/class/kjv25fqyx8y513/post/023,COMP3711,question @23,exercise_question,,yes,,,,0,Practise problems,"If we design algorithms like the Algorithm 3 as stated in the practise problem solution Q2(A), does it mean that we do not need to prove the base cases in the ""prove algorithm correct"" part and could directly write m=1,2 are true? Thanks!",0,Updated 3 years ago by Anonymous Gear,"Yes. Very simple base cases can be much easier to justify

That's the boldface in the following quote from page 12

""A related takeaway is that there is often an inverse trade-off between clever coding and justifying proof correctness.
The longer Algorithm 3 on the next page modifies Algorithm 2 by hardcoding in separate termination conditions for the cases m = 1 and m = 2: It is actually easier to justify than Algorithm 2, because lines 1-12 obviously are correct for m = 1; 2 $$\bf \mbox{(exhaustive search of all cases)}$$ and lines 14-20 are then easy to justify for the general case.""",1,2,,,,,,,,,,,,,,,,,,,,,,,
137,84,https://piazza.com/class/kjv25fqyx8y513/post/025,COMP3711,question @25,exercise_question,,,,,,1,A typo?,"Assignment1, Problem 4
[fig1]
* Sorry, should have posted under the general post",0,Updated 3 years ago by Loading... and Anonymous Helix,"Good catch.
You are absolutely correct. That should be
$$A = \sum_{k=1}^n k^3$$

Thank you for reporting it.
mj golin",0,1,,,,,,,,,,,,,,,,,,,,,,,
138,287,https://piazza.com/class/kjv25fqyx8y513/post/026,COMP3711,question @26,logistics,,yes,,,,0,Questions regarding hw guidelines,"Are we required to cite our lecture notes/Tutorials/past papers if we take help from them?

And can we write in lined blank papers or is it compulsory to use A4 size white blank paper?",0,Updated 3 years ago by Anonymous Scale,"> Are we required to cite our lecture notes/Tutorials/past papers if we take help from them?
Yes.

>And can we write in lined blank papers or is it compulsory to use A4 size white blank paper?
Lined paper is fine.",0,1,,,,,,,,,,,,,,,,,,,,,,,
139,232,https://piazza.com/class/kjv25fqyx8y513/post/027,COMP3711,question @27,exercise_question,,,,,,0,Derive recurrence relation,"What exactly does derive recurrence relation in Q.2 (c) and Q.3(c) refer to?

Does it mean to explain how we got our recurrence relation in a paragraph and solve it or does it mean to use some specific method to derive such relation?

In addition, if we get the same recurrence relation as in notes, can we directly skip to conclusion without solving anything?",0,Updated 3 years ago by Anonymous Calc,"""Derive a Recurrence Relation"" means to show how you got the recurrence relation.

For example, for max contiguous subarray, we showed that solving the problem on size n
could be done by solving two problems of half the size and $$O(n)$$ more work so
$$T(n) = 2 T(n/2) + O(n)$$

The derivation is the showing of why this equation models the running time of the algorithm.

The assignment problems then ALSO ask you separately to show why the recurrence you derived implies $$T(n =O(n \log n)$$ or $$T(n) = O(\log n)$$",0,1,,,,,,,,,,,,,,,,,,,,,,,
140,183,https://piazza.com/class/kjv25fqyx8y513/post/030,COMP3711,question @30,exercise_question,,yes,,,,1,Q1 Part iii,"[fig1]
In this part, is it safe to assume that R(n) is a non-decreasing function of n? Although I see that R(n) has a direct correlation with T(n), but nowhere is it mentioned that T(n) is a non-decreasing function either.",0,Updated 3 years ago by Loading...,"You can't make any assumptions about $$T(n)$$. All you have is what was given in Equation (1).In particular, you may not ASSUME that $$T(n))$$ is non-decreasing.Next, $$R(n)$$ is DEFINED in the text you copied above. Any properties of $$R(n))$ you want to use must be derived from that definition. You can't ""assume"" anything extra.The hint recommends reading the solution to the practice homework first. Please do that. That should answer some of the questions you asked.",2,2,,,,,,,,,,,,,,,,,,,,,,,
141,453,https://piazza.com/class/kjv25fqyx8y513/post/031,COMP3711,question @31,question_clarification,,yes,,,,0,Typo in Q1 (iii): Correction noted,"when n = 2, n/3 is round down to 0, but there is no definition about R(0)?",0,"Updated 3 years ago by GOLIN, Mordecai Jay and Loading...","That was a typo,

Just prove that
$$\forall n > 2, \quad R(n) \le R\left( \lfloor \frac n 3 \rfloor \right) + c$$

That's what is needed for part (iv).",1,2,,,,,,,,,,,,,,,,,,,,,,,
142,841,https://piazza.com/class/kjv25fqyx8y513/post/032,COMP3711,question @32,exercise_question,,,,,,1,Explicitly identify values of c,"[fig1]
What does it mean to explicitly identify values of c in (i)? Does it mean to choose a c which will satisfy the condition or are we supposed to derive a value for c? or can we use inequality?",1,Updated 3 years ago by Anonymous Atom,"You can't just ""choose"" a value. You have to identify the values $$c,n_0$$ and demonstrate/prove that they work for that particular problem.

As an example, in (ii), the fact that $$S(3^k) = O(k)$$ means that you know that there exists $$c_1$$ and $$k_0$$ such that, for all $$k > k_0,$$ $$S(3^k) \le c_1 k$$

The problem is asking you to show that there exists a $$c$$ and $$n_0$$ such that
for all $$n > n_0,$$ $$S(n) \le c \log_3 n$$

Your answer needs to provide EXPLICT values for $$c,n_0$$ such that this statement is true (those values will probably have to depend upon the values $$c_1$$ and $$k_0$$).

As another example, in (iv) , you have to provide explicit values $$c'$$ and $$n_0$$ such that
$$T(n) \le c' \log_3 n$$ for all $$n > n_0$$

Note that, in this case, $$c'$$ might end up being a function of the input value $$c$$.


regards,
mj golin",0,1,,,,,,,,,,,,,,,,,,,,,,,
143,155,https://piazza.com/class/kjv25fqyx8y513/post/033,COMP3711,question @33,question_clarification,,yes,,,,0,Q1,"For Q1(a) (iv), if I've already proved T(n)=O(log (base 3) n), could I just directly write T(n)=O(log n)?

Also, for Q1(a) (ii) and (b) (v), if I feel my base case and general case are highly similar, can I just write the general case? Thanks!",0,Updated 3 years ago by Anonymous Helix,"> For Q1(a) (iv), if I've already proved T(n)=O(log (base 3) n), could I just directly write T(n)=O(log n)?

We already said in class that the base of the log doesn't matter.

So, proving that $$T(n) \le c \log_3 n$$ for all $n > n_0$ (which is what it means to prove that T(n)=O(log (base 3) n) IS proving that $$T(n) = O( \log n)$$.

Don't forget that you need to say what $$c$$ and $$n_0$$ are.

>Also, for Q1(a) (ii) and (b) (v), if I feel my base case and general case are highly similar, can I just write the general case?

No. You need to prove the correctness of your bases case(s) and then prove your general induction step separately.

I'm not quite sure how it's even possible (in a clean induction for these problems ) for the base case and the general case to be similar.
The base case is usually proving something like ""my statement is correct for $$n=1,2$$;
the general case is usually that if my statement is true for all values less than $$n$$ then my statement is correct for $$n.$$

These are very different things

Please look at the induction proofs given in the solutions to the two problems in the practice homework for an illustration of this.",1,2,,,,,,,,,,,,,,,,,,,,,,,
144,791,https://piazza.com/class/kjv25fqyx8y513/post/034,COMP3711,question @34,exercise_question,,,,,,0,Any hint for 1(iii),"Is there any hint or tutorial to solve 1(iii)? And is T(i) referring to equation 2?

For eg: What would T(3) refer to if n=3?",0,Updated 3 years ago by Anonymous Gear,"> Is there any hint or tutorial to solve 1(iii)?
The hint is given on page 3.
Read the solutions to the problems in the Practice Homework. Especially the solution to problem 2B.
See how it derives equation (10).

> And is T(i) referring to equation 2?
Yes

> For eg: What would T(3) refer to if n=3?
You don't know the exact value. What you do know is that
$$T(3) \le T(\lfloor n/3 \rfloor) + c = T(1) + c = 1 + c.$$",0,1,,,,,,,,,,,,,,,,,,,,,,,
145,378,https://piazza.com/class/kjv25fqyx8y513/post/035,COMP3711,question @35,exercise_question,,yes,,,,0,Enquiry about Q2(a),"The hint of Q2(a) claims that we could only assume that n≥2, but when n=2 is it possible to have a right-flipped array? I think it should be at least 3 elements to make such an array exist?",0,Updated 3 years ago by Anonymous Comp,"Correct.

The definition even formally permits $$k$$-flipped arrays for $$n=1$$

As noted on page 5, If $$n=1$$ the array itself is $$k$$ flipped with $$k=1$$

There might be some misunderstanding here about the definition.
A size $$n$$ array has $$n$$ different possible $$k$$ flipped arrays,

For example, if $$n=2$$ and $$ A = [1, 2]$$
Both
$$A'=[1,2]$$ and $$A'=[2,1]$$ are $$k$$-flipped arrays (for $$k=2$$ and $$k=1$$ respectively).

Similarly, if $$n=3$$ and $$A=[1,2,3]$$

$$A'=[1,2,3]$$, $$A'=[1,3,2]$$ and $$A'=[3,2,1]$$ are $$k$$-flipped arrays (for $$k=3,2,1$$ respectively)",1,2,,"It is possible with n = 2. Example: A = [1, 2] and A' = [2, 1].",0,,,,,,,,,,,,,,,,,,,,
147,638,https://piazza.com/class/kjv25fqyx8y513/post/038,COMP3711,question @38,exercise_question,,yes,,,,0,Q1(ii),"In (B) of practise problem, a statement was derived, which was later shown to satisfy O(...) and was proved by induction.

Since Q1(ii) of hw is similar to this problem, do we need to derive a statement using the given two premises as well? or is S(n)<=S(n+1) the statement itself? 

Does anyone have any direction on how to form a statement? or is my assumption on how to solve the question wrong?

Thank you for taking time to read this question",0,Updated 3 years ago by Anonymous Scale,"The solution to the practice problem is proving that $$C(m) = O(\log m)$$ in one long proof.
$$C(m))$$ there is the analogue of $$T(m)$$ in Q1 (i)-(iv)
(there are some slight differences)


Q(1) (i)-(v) are essentially splitting up the pieces in the proof of (B) into individual steps and asking you to solve each step separately. In particular, step (ii) does NOT use any induction.

It uses the two facts that
(I) $$S(3^k) = O(k)$$
(II) $$S(n)$$ is non-decreasing

(III) It also uses the specific hint given on page (3) for part (ii).

Those three points should enable you to prove (ii) directly WITHOUT any induction",0,1,,,,,,,,,,,,,,,,,,,,,,,
148,361,https://piazza.com/class/kjv25fqyx8y513/post/039,COMP3711,question @39,exercise_question,,,,,,1,Possible typo in tutorial SS1 (Unimodal)?,"[fig1]
In the pseudocode on the right, should the highlighted parts use the variable m instead of i
, such that it should be A[m]> A[m+1] and A[m]<A[m+1] respectively?

Thanks a lot!",0,Updated 3 years ago by Anonymous Mouse,"Thanks for reporting.

Yes. That was a typo. It and another small typo in SS2 as well as one in the Karatsuba multiplication example have now all been fixed.

Please see the revision log for a list of changes made
https://canvas.ust.hk/courses/36180/pages/revision-log",0,1,,,,,,,,,,,,,,,,,,,,,,,
149,222,https://piazza.com/class/kjv25fqyx8y513/post/040,COMP3711,question @40,exercise_question,,yes,,,,0,Q1(iv) T(n),"Quoted from question “prove that if T(n) satisfies Equation (2) then T(n) = O(logn)”.

Can R(n) be a possible substitution of T(n) and make use of R(n) to proof this question as it seems in part (iii), it has proven that R(n) satisfied equation 2?

Edit: I am asking this because in part(iii), we have to prove R(n) having a property as same as equation 2. Doesn’t it allow me to use R(n) directly in part(iv) because it satisfies equation 2?",1,Updated 3 years ago by Anonymous Beaker,"I am not sure what you mean when you ask ""can R(n) be a possible substitute of T(n)"".Could you please phrase your question a bit more formally.$$R(n)$$ is NOT the same as $$T(n)$$ so you can't just replace (substitute) $$T(n)$$ with $$R(n)$$.Have you read the solution to the practice Homework? That would you a clue as to how proving a property of $$R(n) $$ will allow you to prove a similar property for $$T(n)$$.",0,1,,Quoted from question “prove that if T(n) satisfies Equation (2) then T(n) = O(logn)”.,1,,,,,,,,,,,,,,,,,,,,
150,176,https://piazza.com/class/kjv25fqyx8y513/post/042,COMP3711,question @42,lecture,,yes,,,,0,Proof using induction,"From the lecture slides, proof using induction has been done like below.

In order to prove that I(n) is true for all n >= 1,

Base case: Prove that I(n) is true for n=1

General case: Assume that I(n) is true for n-1. Using this assumption, prove that I(n) is true for n.

I am quite used to this type of induction, and was able to apply this technique for proving why my algorithm is correct for Q2. 

However, I find it hard to adopt the method that has been used in Practice Homework. Induction used in 'Practice Homework' sets general case as (Suppose I(n') is true for all 1<=n'<n).

Can I just use the previous method of setting base case as (Suppose that I(n) is true for n-1)? 

If so, can you kindly explain why the methods are the same? I get the insight why the two methods are the same, but can't understand the exact reason behind it..",0,Updated 3 years ago by Anonymous Scale,"What you are describing is called weak induction.
The version I used is called strong induction.


(The name is bit of a misnomer since they are equally powerful. Anything that can be proven using the weak form can also be proven using the strong form and voce-versa)

If you can come up with an induction hypothesis that permits using weak induction, by all means use it.

BUT, when proving correctness of a recursive divide-and-conquer algorithm it can be messy to use weak induction. That's because problems of size n usually do NOT recursively call problems of size $$n-1$$. They call SMALLER subproblems. So, Strong induction is more natural in this case and I recommend using it.

All of the (informal) ""proofs"" of correctness that we have done in class have actually used strong induction.

http://www.cs.cornell.edu/courses/cs2800/2011fa/Lectures/induction.pdf
describes the differences between the two types of induction and
https://courses.cs.cornell.edu/cs2800/wiki/index.php/Proof:Strong_induction_is_equivalent_to_weak_induction
explains why weak induction implies strong induction.

If you have trouble understanding this please email me and we can set up an office hour meeting.

regards,
mj golin",1,2,,,,,,,,,,,,,,,,,,,,,,,
151,696,https://piazza.com/class/kjv25fqyx8y513/post/043,COMP3711,question @43,exercise_question,,,,,,0,Any reference for writing explanation for algorithm?,"For questions like problem2 we are supposed to write descriptions for the algorithm we designed, Any example on how to write description for algorithm?",0,Updated 3 years ago by Anonymous Scale and Loading...,"This is just meant to be a brief description of the algorithm describing the basic idea behind what it does.
There's no ""formalism"" here (that's what the pseudocode description is for)
We do this a lot in class.


For example, a brief description the the divide-and-conquer algorithm that we learned for maximum contiguous subarray could be.

******************************************
The algorithm solves the problem on size $$n=1$$ by just returning the individual element.

The algorithm solves the problem on size $$n>1$$ by splitting the problem into a left half and right half and
-recursively finding the max contiguous subarray in each of the left and right halves
- it also finds the max contiguous subarray crossing BETWEEN the two arrays
- it then returns the largest (value) of the three

It finds the max contiguous subarray crossing the between the two arrays by
(i) finding the max contiguous subarray on the left whose right boundary is the midpoint
(i) finding the max contiguous subarray on the right whose left boundary is the midpoint
(iii) and gluing them together
****************************************************************

We ask for this description because the main idea of the algorithm will often got lost in the pseudocode.
We want to understand the basis behind your design.

This also makes it easier for us to mark unclear solutions. If your pseudocode is not understandable we will often try to figure out what it does by reading your cleaner description and then matching that to the pseudocode.",0,1,,,,,,,,,,,,,,,,,,,,,,,
152,704,https://piazza.com/class/kjv25fqyx8y513/post/046,COMP3711,question @46,hw_content_clarification,,yes,,,,0,Q2(c),"For Q2 (c), does number of comparisons refer to comparisons between array elements (like A[p] <A[q])? Should comparisons like p=r be included?",0,Updated 3 years ago by Loading...,"It only refers to the number of comparisons with array elements.
It does NOT include comparisons between index values like $$p =r$$.",1,2,,,,,,,,,,,,,,,,,,,,,,,
153,32,https://piazza.com/class/kjv25fqyx8y513/post/049,COMP3711,question @49,typo,,,,,,1,A typo in SS2?,"[fig1]
This is what I have found in SS2 solution powerpoint. I think the initial value of k should be 1 instead of 0. Is it a typo?",0,Updated 3 years ago by Anonymous Comp,"Yes. That was a typo. It should start with $$k=1$$.


Thanks for reporting.",0,1,,,,,,,,,,,,,,,,,,,,,,,
154,95,https://piazza.com/class/kjv25fqyx8y513/post/050,COMP3711,question @50,hw_noncontent_clarification,,yes,,,,0,Q1(b) - Meaning of Equation (??),"In Q1(b), it said that ""We learned in class that if T(n) satisfies Equation (??) then … "".

May I ask what “??” really means here? Does it mean that ?? has a possible value either 1 or 2, so that T(n) either satisfies Equation (1) defined at the beginning of the question or Equation (2) defined in part (a)?

If the above is true, do I need to write out the steps on how I find out whether ?? equals 1 or 2?

Thank you very much",0,Updated 3 years ago by Anonymous Beaker,This was a very short-lived problem in a revision we made that was quickly replaced with the correct version.Please download the current version of the assignment.,0,1,,I don't have such a problem. May be you should re-download the assignment?,1,,,,,,,,,,,,,,,,,,,,
155,689,https://piazza.com/class/kjv25fqyx8y513/post/053,COMP3711,question @53,lecture,,,,,,0,Base of Log,"I would like to ask about the base of Logs which does not have a specified value for the base, such as the expression logn.

First, I wonder how we can manipulate them. For instance, in some calculations, it is given as logn but might need to be compare to some log function with a specific base, such as lnn. Should we directly change its base like writing logn = lognn? And from the other side, can be write 
lnn = logn? If there is an implicit base for such kind of log function, what is its value? I think the base of log does not matter when we are using asymptotic notation, but I am uncertain about the situation when we are simply manipulating them for calculations that does not involve asymptotic notation",0,Updated 3 years ago by Anonymous Comp,"When stated in asymptotic notation, the base can be left out because it does not matter.

This is because, for any constants $$a, b$$ we have

$$\log_a n = (\log_a b) \log_b n$$ and thus

$$\log_a n = \Theta ( \log_b n)$$.

i.e., in asymptotic notation, constants do not matter.
So we will usually write things like $$O(n \log n)$$ without the base.


On the other hand, there when doing actual calculations, you must write the bases of the $\log$s of you can get things very wrong.

For example if you are given $$A = 4^{\log_4 n}$$ and $$B = 4^{\log_2 n}$$ you can't just say that you can get rid of the bases.

Notice that $$A= n$$ but
$$B= 4^{(\log_2 4) \log_4 n} = (4^{\log_4 n})^{\log_2 4} = n^2.$$

so the base of the log was very important.",0,1,,,,,,,,,,,,,,,,,,,,,,,
156,404,https://piazza.com/class/kjv25fqyx8y513/post/054,COMP3711,question @54,lecture,,yes,,,,0,documented pseudocode,Could you please give an example of comment inside the pseudocode? I don't quite get the requirement of documented pseudocode in Q2. Thank you.,1,Updated 3 years ago by Anonymous Beaker,Please see Algorithm 1 in the practice homework,2,2,,,,,,,,,,,,,,,,,,,,,,,
157,459,https://piazza.com/class/kjv25fqyx8y513/post/056,COMP3711,question @56,exercise_question,,yes,,,,0,Q3 adding an element to set,"For Q3, does adding a single element to a set take O(1) time? Thank you!",0,Updated 3 years ago by Loading...,"Adding an element to a set $$S$$ is like doing $$S = S \cup \{x\}$$.So, the cost would be the cost of the union, i.e., $$\Theta(|(S|+1) \cdot 1) = \Theta(|S|+1)$$",1,2,,,,,,,,,,,,,,,,,,,,,,,
158,351,https://piazza.com/class/kjv25fqyx8y513/post/057,COMP3711,question @57,hw_noncontent_clarification,,,,,,0,Can I use word to repalce codes?,"In the code, may I use words instead of some code to avoid some messy and meaningless part(like in the attached picture)?9AD2F9216FA73C3FDA417C3284248712.png",0,Updated 3 years ago by Anonymous Comp,"NO.

The problem explicitly states that you need to provide BOTH

1) Pseudocode
and separately
2) A description using words

As a side note, if this is the solution for problem 3 i am very confused as to what you are doing.
Please see the recommendations on how to use SET notation that is provided as part of the problem.",0,1,,,,,,,,,,,,,,,,,,,,,,,
159,337,https://piazza.com/class/kjv25fqyx8y513/post/059,COMP3711,question @59,grading,,yes,,,,0,hw Rubics,Can we know how much marks each of the sub-problems of Problem 1 provide?,0,Updated 3 years ago by Anonymous Mouse,"We can't provide that information because most of the problems can't be split apart perfectly that way.

The different parts are to walk you through the solutions step by step and make sure that you provide enough information for us to know whether you have correctly solved the full problem
For example, problem 3 is really
""construct an $$O(n \log n)$$ algorithm for finding heavy elements''

So, how you do on one part can have a very large influence on how you are marked on another part.

For example, if your algorithm is $$O(n^2)$$ instead of the requested $$O(n \log n)$$ then the analysis of the run time will be wrong even if you say that it $$O(n^2).$$

While we do have our guidelines as approximately how much each part should be worth those are just our internal guidelines",0,1,,,,,,,,,,,,,,,,,,,,,,,
160,368,https://piazza.com/class/kjv25fqyx8y513/post/060,COMP3711,question @60,hw_content_clarification,,,,,,0,SS1 array,May I know that if the array is from 1 to n-1 or 1 to n in SS1?,0,Updated 3 years ago by Anonymous Poet,"The problem states that the items are $$a_1, \ldots, a_n$$ so the array is from $$1$$ to $$n$$",0,1,,,,,,,,,,,,,,,,,,,,,,,
161,190,https://piazza.com/class/kjv25fqyx8y513/post/061,COMP3711,question @61,hw_content_clarification,,yes,,,,0,Can we create helper pseudocode procedures,"Can we create helper procedure in Q3?

For example: Something like $$\forall x\varepsilon S Do Work(S,x)$$

If we can, will the change we make in set S at helper procedure be carried over to Heavy procedure? and will the x be an integer?

Also, does this line ""Your procedure should return a set. You can write this as S =
Heavy(i, j)"" mean return S?",0,Updated 3 years ago by Anonymous Atom,"Can we create helper procedure in Q3?

I'd strongly recommend against that.

$$Work(x)$$ was intended to be a stand-in for a snippet of code.

If you write it as a real procedure then you would need to pass a lot more information and worry about passing information back properly. It is definitely not worth it.

The code necessary should only be only a few lines.

*****************************************************************

> Also, does this line ""Your procedure should return a set. You can write this as S =
Heavy(i, j)"" mean return S?

No. It means that you should think of your language as having a set data structure.
with the properties and operations that are described in the notes)

The procedure Heavy(i,j) RETURNS a set
Writing S = Heavy(i,j) means that $S$ gets the value of what Heavy(i,j) returns.",0,1,,,,,,,,,,,,,,,,,,,,,,,
162,294,https://piazza.com/class/kjv25fqyx8y513/post/062,COMP3711,question @62,hw_content_clarification,,,,,,0,Pseudocode foreach loop,"Can we use a foreach loop to iterate over all elements in a set with unknown size? If we can, how should we represent that in pseudocode? If not, how should we iterate over that kind of set/array?

For your reference, I am referring to this kind of loop (example in Java):

int[] myArray = {0, 1, 2, 3};

for (int x : myArray) {
// Do something
}",0,Updated 3 years ago by Anonymous Atom,"The student response above was correct.

In the hints/notes we described how you should write pseudocode operations for sets using mathematical notation
$$\forall x \in S$$
$$\quad$$ lines of code implemented for each value of $$x$$

One other comment.

We were VERY specific that you should NOT use specific programming language constructs.
Absolutely do NOT write your for loops using
for (int x : myArray) {
// Do something

That is EXTREMELY language specific and we wil deduct points for that.

Your code should be readable by anyone who understands basic programming language and math constructs. They should not need to know the syntax of any particular language

Have you for loops run through the INDICES of the array explicitly.
While this might seem less elegant, it is more generally understandable",0,1,,I think that the for-all x belongs to S hint in pg 8 is for such situation. I may be wrong though,1,,,,,,,,,,,,,,,,,,,,
163,32,https://piazza.com/class/kjv25fqyx8y513/post/063,COMP3711,question @63,lecture,,,,,,0,Running time of set exclusion,"What is the running time of the following action?

$$S=S\setminus \left \{ x \right \}$$
if $$S$$ is a set and $$x$$ is an element

Thanks!",0,Updated 3 years ago by Anonymous Gear,$$|S|$$ (the size of the set),0,1,,,,,,,,,,,,,,,,,,,,,,,
