,randomized,question_url,course_code,question_id,inductive_coding_question_type,Media,question_title,question_body,question_good_count,Time,,instructor_answer,instructor_answer_good_count,instructor_endorsement_for_instructor_answer,student_answer,student_answer_good_count,instructor_endorsement_for_student_answer,pedagogy_1,clarity_1,annotator_notes,pedagogy_2,external references,relevant concepts,Example,visual aids,Others,clarity_2,annotator_notes
128,255,https://piazza.com/class/ke5ei5tq8v3a7/post/016,COMP3711H,question @16,exercise_question,0,"one question for each Q2, Q3, Q4","Dear Dr. Golin,
 
 I have a few of questions:
 
 1. The recent announcement on the canvas suggested that equation (1) can be used to solve problem 3 & 4: is it possible that we can use it on problem 2 also, or my approach of using equation (1) would inherently be wrong?
 
 2. For question 3, is it possible to include an exception case in the algorithm so that it immediately returns when exception condition is met (e.g. the array length < 2)?
 
 2-1. If the exception case is allowed, and the algorithm just returns nil immediately when the condition is met, will the number of operations be 0, since no comparison or ""work"" is done, or 1, since return itself can be seen as an operation?
 
 3. For question 4, is it possible to define a separate helper function other than Inside(P, q)?
 
 Edit: One extra question about the requirements; when it says to start new problem on new page, does that include sub sections (a, b, i, ii, etc.) or just the large problem 1,2,3,4 should start on a new page?
 
 Thank you very much!",0,Updated 3 years ago by Loading...,,">1. The recent announcement on the canvas suggested that equation (1) can be used to solve problem 3 & 4: is it
 > possible that we can use it on problem 2 also, or my approach of using equation (1) would inherently be wrong?
 
 That was an oversight on my part. It is definitely possible to use (1) to solve problem 2 as well.
 
 >2. For question 3, is it possible to include an exception case in the algorithm so that it immediately returns when
 > exception condition is met (e.g. the array length < 2)?
 
 This is not necessary. First line of the problem states that $$n \ge 2.$$
 Your code may also assume that assumption for the data. SO, an exception is not needed.
 
 >2-1. If the exception case is allowed, and the algorithm just returns nil immediately when the condition is met, will >the number of operations be 0, since no comparison or ""work"" is done, or 1, since return itself can be seen as an >operation?
 
 Since the exception case is not needed this is not an issue
 
 >3. For question 4, is it possible to define a separate helper function other than Inside(P, q)?
 Yes. You may define procedures and functions with your pseudocode.
 
 
 >Edit: One extra question about the requirements; when it says to start new problem on new page, does that include >sub sections (a, b, i, ii, etc.) or just the large problem 1,2,3,4 should start on a new page?
 
 Just every large problem, i.e., 1, 2 3 and 4.
 BUT, when you start a new subsection within a problem on the same page please skip a few lines so it is easy to identify.
 
 regards,
 mj golin",1,,,,,,3,,,,,,,,3,
130,694,https://piazza.com/class/ke5ei5tq8v3a7/post/023,COMP3711H,question @23,exercise_question,0,Assignment 2 Q2,"Dear Professor,
 
 I just want to confirm if ""item"" in this problem means key, so in (II) and (III), the input is a key and we have to find the node(s) that contain(s) the key or insert the key in some node (respectively). If yes, if more than one node contain the key do we have to find all the nodes in (II)? In (III), are we allowed to change the number of nodes?
 
 Best,
 
 Rubab",0,Updated 3 years ago by Loading...,,"I just want to confirm if “item” in this problem means key,
 Technically, no. It’s an item. Multiple items may have the same key. This can occur with Binary Search Trees as well. An item may be a record and multiple records might have the same key.
 
 But, if it makes it simpler, for the sake of this problem, you may assume that all items have unique keys.
 Just specify in advance that you are using that assumption.
 
 so in (II) and (III), the input is a key and we have to find the node(s) that contain(s) the key
 Or some node that contains the key (if there are multiple such nodes). The same as for BSTs)
 
 
 or insert the key in some node (respectively).
 Not exactly. In this last case you need to create a new tree that contains all the old keys and the new key.
 
 The easiest way to do this is to try to insert the key into the appropriate leaf and then, if the resulting tree violates the rules, fix that.
 
 If yes, if more than one node contain the key do we have to find all the nodes in (II)? In (III), are we allowed to change the number of nodes?
 No. The resulting tree must contain exactly all of the old items in the tree as well as the new item that has been inserted
 
 regards,
 mj golin",3,,,,,"I, G",2,,I,,1,,,,3,
132,291,https://piazza.com/class/kjv25fqyx8y513/post/016,COMP3711,question @16,lecture,0,insertion sort vs bubble sort,if the number of swaps performed by both insertion sort and bubble sort are equal to the inversion number of the array then why is insertion sort considered better?,1,Updated 3 years ago by Anonymous Comp,,"From a purely swapped-based algorithmic analysis point of view, they're the same.
 
 But, Bubble Sort is much harder to understand than the simple insertion sort and (because of that) also harder to code correctly. No contemporary computer scientist recommends it.
 
 For many years it was taught as a first sort, No one is quite sure why and papers on computer science education have been written about this. See
 https://users.cs.duke.edu/~ola/bubble/bubble.html
 
 We absolutely don't recommend it
 (We only introduce it in th etutorial to give you more practice in analysis; not as a recommendation for use)
 
 regards,
 mj golin",2,,,,,P,3,,P,1,,,,,3,
134,381,https://piazza.com/class/kjv25fqyx8y513/post/020,COMP3711,question @20,lecture,0,Binary Search recurrence relation,"I am confused over why the number of comparisons T(n) of a binary search algorithm (pg 4, lec 2) is T(n) = T(n/2) + 1.
 
 To be precise, I want to know where the +1 comes from since T(n) is the number of comparisons and I think O(1) should be referring to q which is not a 'if' condition",0,Updated 3 years ago by Anonymous Scale,,That's right.The +1 is counting the comparison if $$x \le A[q]$$ that is made right before the recursive call.,1,,"For binary search, each recursion finds the median element (O(1)), compares with the element you want to find (O(1)) and goes into another subproblem (T(n/2)).",1,,,3,,,,,,,,3,
135,78,https://piazza.com/class/kjv25fqyx8y513/post/021,COMP3711,question @21,exercise_question,1,Q1 induction,"[fig1] For Q1(a) (i) in HW1, can we follow this writing method (from one of the slides) to write the solution? If yes, then is it considered as using induction method? I thought it isn't because we are not writing in the ""base case: ... ; General step: ..."" kind of format, we just unfold all the terms and write out the exact total number. So I'm a bit confused with why Professor says it is using implicit induction? Thank you!",0,Updated 3 years ago by Anonymous Helix,,"1) yes you can use that method for (a) (i)
 
 2) The unfolding required to show that the general step is correct IS an induction step
 
 More specifically, the general statement is that
 $$(*) \quad T(n) = 2^i T(n-i) + \sum_{j=0}^{i-1} 2^j$$
 
 Showing that this formally correct requires induction.
 
 The base case is that it is true for $i=1$.
 
 Now assume, by induction, that (*) is true for $i-1$, i.e,
 $$T(n) = 2^{i-1}T(n-(i-1)) + \sum_{j=0}^{i-2}2^j$$
 
 Then, expanding using the basic recurrence shoes that
 $$T(n) = 2^{i-1} (2(T-(i-1) -1) +1) + \sum_{j=0}^{i-2}2^j = 2^i T(n-i) + 2^{i-1} + \sum_{j=0}^{i-2}2^j = 2^{i-1}T(n-i)) + \sum_{j=0}^{i-1}2^j$$,
 i.e, (*) is true for $$i$$.
 
 This is classic induction. But we don't usually write this out formally, which is why we say that it is implicit.",2,,,,,G,3,,O,,,,,formula,3,
136,202,https://piazza.com/class/kjv25fqyx8y513/post/023,COMP3711,question @23,exercise_question,0,Practise problems,"If we design algorithms like the Algorithm 3 as stated in the practise problem solution Q2(A), does it mean that we do not need to prove the base cases in the ""prove algorithm correct"" part and could directly write m=1,2 are true? Thanks!",0,Updated 3 years ago by Anonymous Gear,,"Yes. Very simple base cases can be much easier to justify
 
 That's the boldface in the following quote from page 12
 
 ""A related takeaway is that there is often an inverse trade-off between clever coding and justifying proof correctness.
 The longer Algorithm 3 on the next page modifies Algorithm 2 by hardcoding in separate termination conditions for the cases m = 1 and m = 2: It is actually easier to justify than Algorithm 2, because lines 1-12 obviously are correct for m = 1; 2 $$\bf \mbox{(exhaustive search of all cases)}$$ and lines 14-20 are then easy to justify for the general case.""",1,,,,,P,3,,"P, O",1,,,,formula,3,
140,183,https://piazza.com/class/kjv25fqyx8y513/post/030,COMP3711,question @30,exercise_question,1,Q1 Part iii,"[fig1]
In this part, is it safe to assume that R(n) is a non-decreasing function of n? Although I see that R(n) has a direct correlation with T(n), but nowhere is it mentioned that T(n) is a non-decreasing function either.",0,Updated 3 years ago by Loading...,,"You can't make any assumptions about $$T(n)$$. All you have is what was given in Equation (1).In particular, you may not ASSUME that $$T(n))$$ is non-decreasing.Next, $$R(n)$$ is DEFINED in the text you copied above. Any properties of $$R(n))$ you want to use must be derived from that definition. You can't ""assume"" anything extra.The hint recommends reading the solution to the practice homework first. Please do that. That should answer some of the questions you asked.",2,,,,,,3,,,,,,,,2,
141,453,https://piazza.com/class/kjv25fqyx8y513/post/031,COMP3711,question @31,question_clarification,0,Typo in Q1 (iii): Correction noted,"when n = 2, n/3 is round down to 0, but there is no definition about R(0)?",0,"Updated 3 years ago by GOLIN, Mordecai Jay and Loading...",,"That was a typo,
 
 Just prove that
 $$\forall n > 2, \quad R(n) \le R\left( \lfloor \frac n 3 \rfloor \right) + c$$
 
 That's what is needed for part (iv).",1,,,,,,3,,,,,,,,3,
143,155,https://piazza.com/class/kjv25fqyx8y513/post/033,COMP3711,question @33,question_clarification,0,Q1,"For Q1(a) (iv), if I've already proved T(n)=O(log (base 3) n), could I just directly write T(n)=O(log n)?
 
 Also, for Q1(a) (ii) and (b) (v), if I feel my base case and general case are highly similar, can I just write the general case? Thanks!",0,Updated 3 years ago by Anonymous Helix,,"> For Q1(a) (iv), if I've already proved T(n)=O(log (base 3) n), could I just directly write T(n)=O(log n)?
 
 We already said in class that the base of the log doesn't matter.
 
 So, proving that $$T(n) \le c \log_3 n$$ for all $n > n_0$ (which is what it means to prove that T(n)=O(log (base 3) n) IS proving that $$T(n) = O( \log n)$$.
 
 Don't forget that you need to say what $$c$$ and $$n_0$$ are.
 
 >Also, for Q1(a) (ii) and (b) (v), if I feel my base case and general case are highly similar, can I just write the general case?
 
 No. You need to prove the correctness of your bases case(s) and then prove your general induction step separately.
 
 I'm not quite sure how it's even possible (in a clean induction for these problems ) for the base case and the general case to be similar.
 The base case is usually proving something like ""my statement is correct for $$n=1,2$$;
 the general case is usually that if my statement is true for all values less than $$n$$ then my statement is correct for $$n.$$
 
 These are very different things
 
 Please look at the induction proofs given in the solutions to the two problems in the practice homework for an illustration of this.",1,,,,,G,3,,I,,1,,,,3,
145,378,https://piazza.com/class/kjv25fqyx8y513/post/035,COMP3711,question @35,exercise_question,0,Enquiry about Q2(a),"The hint of Q2(a) claims that we could only assume that n≥2, but when n=2 is it possible to have a right-flipped array? I think it should be at least 3 elements to make such an array exist?",0,Updated 3 years ago by Anonymous Comp,,"Correct.
 
 The definition even formally permits $$k$$-flipped arrays for $$n=1$$
 
 As noted on page 5, If $$n=1$$ the array itself is $$k$$ flipped with $$k=1$$
 
 There might be some misunderstanding here about the definition.
 A size $$n$$ array has $$n$$ different possible $$k$$ flipped arrays,
 
 For example, if $$n=2$$ and $$ A = [1, 2]$$
 Both
 $$A'=[1,2]$$ and $$A'=[2,1]$$ are $$k$$-flipped arrays (for $$k=2$$ and $$k=1$$ respectively).
 
 Similarly, if $$n=3$$ and $$A=[1,2,3]$$
 
 $$A'=[1,2,3]$$, $$A'=[1,3,2]$$ and $$A'=[3,2,1]$$ are $$k$$-flipped arrays (for $$k=3,2,1$$ respectively)",1,,"It is possible with n = 2. Example: A = [1, 2] and A' = [2, 1].",0,,G,3,,P,1,,,,,3,
150,176,https://piazza.com/class/kjv25fqyx8y513/post/042,COMP3711,question @42,lecture,0,Proof using induction,"From the lecture slides, proof using induction has been done like below.
 
 In order to prove that I(n) is true for all n >= 1,
 
 Base case: Prove that I(n) is true for n=1
 
 General case: Assume that I(n) is true for n-1. Using this assumption, prove that I(n) is true for n.
 
 I am quite used to this type of induction, and was able to apply this technique for proving why my algorithm is correct for Q2. 
 
 However, I find it hard to adopt the method that has been used in Practice Homework. Induction used in 'Practice Homework' sets general case as (Suppose I(n') is true for all 1<=n'<n).
 
 Can I just use the previous method of setting base case as (Suppose that I(n) is true for n-1)? 
 
 If so, can you kindly explain why the methods are the same? I get the insight why the two methods are the same, but can't understand the exact reason behind it..",0,Updated 3 years ago by Anonymous Scale,,"What you are describing is called weak induction.
 The version I used is called strong induction.
 
 
 (The name is bit of a misnomer since they are equally powerful. Anything that can be proven using the weak form can also be proven using the strong form and voce-versa)
 
 If you can come up with an induction hypothesis that permits using weak induction, by all means use it.
 
 BUT, when proving correctness of a recursive divide-and-conquer algorithm it can be messy to use weak induction. That's because problems of size n usually do NOT recursively call problems of size $$n-1$$. They call SMALLER subproblems. So, Strong induction is more natural in this case and I recommend using it.
 
 All of the (informal) ""proofs"" of correctness that we have done in class have actually used strong induction.
 
 http://www.cs.cornell.edu/courses/cs2800/2011fa/Lectures/induction.pdf
 describes the differences between the two types of induction and
 https://courses.cs.cornell.edu/cs2800/wiki/index.php/Proof:Strong_induction_is_equivalent_to_weak_induction
 explains why weak induction implies strong induction.
 
 If you have trouble understanding this please email me and we can set up an office hour meeting.
 
 regards,
 mj golin",1,,,,,P,3,,I,,1,,,,3,
152,704,https://piazza.com/class/kjv25fqyx8y513/post/046,COMP3711,question @46,hw_content_clarification,0,Q2(c),"For Q2 (c), does number of comparisons refer to comparisons between array elements (like A[p] <A[q])? Should comparisons like p=r be included?",0,Updated 3 years ago by Loading...,,"It only refers to the number of comparisons with array elements.
 It does NOT include comparisons between index values like $$p =r$$.",1,,,,,,3,,,,,,,,3,
156,404,https://piazza.com/class/kjv25fqyx8y513/post/054,COMP3711,question @54,lecture,0,documented pseudocode,Could you please give an example of comment inside the pseudocode? I don't quite get the requirement of documented pseudocode in Q2. Thank you.,1,Updated 3 years ago by Anonymous Beaker,,Please see Algorithm 1 in the practice homework,2,,,,,P,3,,G,,,1,,,2,
157,459,https://piazza.com/class/kjv25fqyx8y513/post/056,COMP3711,question @56,exercise_question,0,Q3 adding an element to set,"For Q3, does adding a single element to a set take O(1) time? Thank you!",0,Updated 3 years ago by Loading...,,"Adding an element to a set $$S$$ is like doing $$S = S \cup \{x\}$$.So, the cost would be the cost of the union, i.e., $$\Theta(|(S|+1) \cdot 1) = \Theta(|S|+1)$$",1,,,,,,3,,G,,,1,,,3,
216,264,https://piazza.com/class/kjv25fqyx8y513/post/136,COMP3711,question @136,,0,DC3 (c),"In DC3 (c), don't we need to do partition also after finding the median Xm? So that when we call the function on the left or right side, we are sure that all elements are either smaller or greater than Xm?",0,Updated 3 years ago by Anonymous Atom,,"DC3 is not giving you any pseudocode. It is just describing how to solve the problem.
 
 If you read it carefully it actualy IS implicitly calling a version of partition.
 
 It is finding the median item $$x_m$$ and then
 spending $$O(n)$$ further time
 finding all items satisfying $$x_j \le x_m$$.
 
 That means that it has partitioned the $$x_j$$ into $$x_m$$, those items less than $$x_m$$ and those items greater than $$x_m$$. In other words, it is partitioning on $$x_m$$.",1,,,,,,3,,I,,1,,,,3,
221,568,https://piazza.com/class/kjv25fqyx8y513/post/142,COMP3711,question @142,,0,Q3-c the def of Tierce,"Hello, I have a question about the definition of Tierce. It is said that Tierce(A, p, r) = BB(A, p, r, floor( (r-p+1)/3 )).
 
 But for an array with 2 elements, it will be BB(A, p, p+1, 0). I do not think this is a valid input of BB since there is no 0th smallest number.
 
 I think this should be change to ceiling( (r-p+1)/3 ) instead of floor( (r-p+1)/3 ).",0,Updated 3 years ago by Loading...,,"No.
 Tierce is undefined when $$r-p+1 <3$$.
 (It's definition would be arbitrary).
 
 So, if you have $$r-p+1 <3$$, i.e, your problem is size 1 or 2, you can't call Tierce.
 
 You would have to just solve the problem using brute-force.
 
 But this is trivial to do, because then you are solving one of the cases
 $$BB(A,p,p,1),$$ $$BB(A,p,p+1,1)$$ or $$BB(A,p,p+1,2)$$,
 all of which are easy to solve.",2,,,,,,3,,I,,1,,,,3,
227,95,https://piazza.com/class/kjv25fqyx8y513/post/153,COMP3711,question @153,,0,Q3c simplified proof,"For Q3c, can we say that the remaining array size at each time is at most 2n/3 (although it is strictly ceiling(2n/3) for the simplicity of proof? Thank you!",0,Updated 3 years ago by Loading...,,"You should let $$T(n))$$ be the worst -case running time on all problems of size AT MOST $$n$$.
 Then your recurrence would work correctly.",1,,"Since we're concerned with the Worst-case analysis, saying the algorithm produces an array that has worst-case size of $$\frac{2}{3}$$ n should be alright.",0,,,3,,O,,,,,procedure,3,
231,61,https://piazza.com/class/kjv25fqyx8y513/post/160,COMP3711,question @160,instruction_on_requirements,0,Using Master Theorem,"May I ask if we can ignore floor sign and ceiling sign when using Master Theorem in hw or exam for simplification?

For instance, if we get T(n) <= aT(floor(n/b))+kn, is it okay to apply the Theorem by treating at as 
T(n) <= aT(n/b) + kn?

Thanks!",0,Updated 3 years ago by Anonymous Gear,,"YEs. As discussed in class the $$n/b$$ term in the Master Theorem encompasses both
 $$\lfloor n/b \rfloor$$ and $$\lceil n/b \rceil$$
 
 (Problem 1 in Assignment 1 was intended to explain why this works)",2,,,,,,3,,G,,1,1,,,3,
234,283,https://piazza.com/class/kjv25fqyx8y513/post/164,COMP3711,question @164,,0,Q2b,May I ask can we just give a non-monotone matrix on which MEM would fail? Do we have to prove it?,0,Updated 3 years ago by Anonymous Atom,,"Correct.
 
 You just need to give a non-monotone matrix $$A$$ AND a value $$a \in A$$
 and quickly explain why the algorithm fails when trying to find $$a$$ in $$A$$
 
 Technically you only need to provide $$a$$ and $$A$$ and no explanation.
 But, if you don't have an explanation and your answer is wrong, then we can not give you any partial credit.",1,,You are required to give a non-monotone matrix then explain why the algorithm fails. I believe this sufficiently prove that the algorithm does not work for non-monotone matrices.,1,,,3,,O,,,,,procedure,3,
242,819,https://piazza.com/class/kjv25fqyx8y513/post/180,COMP3711,question @180,logistics,0,Assignment 3 in grade rubic,"Is the future homework 3 worth 15% of total marks since it is of double length?
 
 By same token, are the other 4 assignments worth 10% each?",0,Updated 3 years ago by Anonymous Beaker,,"NO.
 
 There are 5 assignments (# 3 twice the size) worth 55% of the final in total
 
 Each normal assignment is worth 1/6 of 55%, i.e., $$9 \frac 1 6$$%, i.e, around 9.166% of the final grade
 
 Assignment 3 is worth 2/6 of 55%, i.e., $$18 \frac 1 3$$%, i.e, around 18.33% of the final grade.",1,,,,,,3,,,,,,,,3,
246,738,https://piazza.com/class/kjv25fqyx8y513/post/184,COMP3711,question @184,concept,0,Huffman Coding,"I had a few questions when reviewing the huffman coding and hope to ask about them.

First, one of the steps in the proof is that we remove the smallest pair of siblings x, y and replace them with z. However, may I ask if there is always one and only one pair of siblings that we could pick? (is there only one pair at the deepest level?) If not, will the existence of other pairs affect the correctness of the proof?

Second, it is mentioned that the proofs for greedy algorithms usually require the use of greedy property. May I ask, for huffman coding, which specific lemma or part in the notes should considered as using the greedy property?

Thank you very much!",0,Updated 3 years ago by Anonymous Scale,,">First, one of the steps in the proof is that we remove the smallest pair of siblings x, y and replace >them with z. However, may I ask if there is always one and only one pair of siblings that we could >pick?
 Absolutely not.
 For example, if all of leaves have the same weight, there will be many possible ties.
 
 >(is there only one pair at the deepest level?)
 Again no.
 >If not, will the existence of other pairs affect the >correctness of the proof?
 
 
 The proof is written very carefully.
 It says that we pick A smallest pair of siblings. It doesn't say THE smallest pair.
 Everything is written so that it will work in case of ties.
 
 
 >Second, it is mentioned that the proofs for greedy algorithms usually require the use of greedy >property. May I ask, for huffman coding, which specific lemma or part in the notes should >considered as using the greedy property?
 In this case it's using the properties all through the proof and not just in one place,
 Consider the proof on page 20.
 the use of Lemma 3 and the observation from page 17 are using the greedyness of Huffman's algorithm.",1,,,,,,2,,G,,1,1,,,3,
261,534,https://piazza.com/class/kjv25fqyx8y513/post/206,COMP3711,question @206,,0,"Q4 definition of ""a tree does not exist""","In the rules of Q4, it is mentioned that if ""a tree does not exist"" then the table value $$e[i,j:k]$$ should be $$\infty$$.
 
 Does ""a tree does not exist"" include cases where there range $$[i..j]$$ is not valid, i.e. when $$i > j$$?
 
 So should the value for $$e[i, j: k]$$, $$i > j$$ be $$\infty$$ as well?",0,Updated 3 years ago by Anonymous Poet,,">In the rules of Q4, it is mentioned that if ""a tree does not exist"" then the table value e[i,j:k] should be ∞.>Does ""a tree does not exist"" include cases where there range [i..j] is not valid, i.e. when i>j?No. It does not. If $$i > j$$ then the tree exists, but it is empty, so it has cost $$0.$$While this might seem arbitrary, this is actually how the recurrence taught in class worked.The issue there was that, when constructing $$T_{i,j}$$, it is possible that $$a_i$$ or $$a_j$$ is the root.In that case, the left or right subtree would be empty. The recurrence therefore needed the cost of that empty subtree to be $$0$$. This is why we set $$e[i,i-1]=0$$ in class.[Sidenote: Setting $$e[i,i-1]=0$$ was just a mathematical hack. BUT, introducing it meant that we didn't have to write out special cases of the recurrence when the root is the leftmost or rightmost item in the range. So, it was a useful hack.]The cases in which we nust set $$e[i,j:k] = \infty$$ are very different. These are cases in which the range of items is non-empty but the tree with the stated property can not exist. For example, the tree containing a range with 4 items ($$a_i, a_{i+1}, a_{i+2}, a_{i+3}$$) MUST have height at least $$2$$. So $$e[i,i+3:1]=\infty$$Again, this is a mathematical hack. You COULD write a more complicated recurrence that first checks whether a tree could exist before calculating its associated value. But, setting the cost $$=\infty$$ does this automatically.This is actually why we permit you to do calculations with $$\infty$$ in your pseudocode. In real code, that's impossible. You would need to keep a boolean indicator of the existence of a tree of that size and check that before doing a value calculation. Setting the tree value $$=\infty$$ lets you avoid that extra code.",2,,,,,I,2,,"I, O",,1,,,procedure,3,
262,557,https://piazza.com/class/kjv25fqyx8y513/post/207,COMP3711,question @207,,1,"P4 (a) what does ""initial conditions"" mean?","In problem 4a, we are asked to give a dynamic programming recurrence equation, I assume it is the same as in lecture note 13 page 18
 [fig1]
 what does Don’t forget to provide the initial conditions mean? is there anything else we need to write other than something like the image?",0,"Updated 3 years ago by LEE, Chit",,"That is correct.
 ""Initial conditions"" refers to the base conditions that need to be set.
 These are the values that are NOT defined by the recurrence.
 
 There are actually two slightly different types of initial conditions that can occur.
 
 a) those that refer to the ""smallest"" base problems, i.e.,
 $$e[i,i] = f(a_i).$$
 These are the costs of the one node trees
 
 b) Those that refer to boundary issues in the recurrence, e.g.
 $$f(i,j)=0$$ for $$i>j.$$
 $$i >j$$ refers to non-existent problem, e.g., the empty set.
 Setting this $$-0$$ is saying that the cost of an empty tree is zero.
 and makes the recurrence work nicely.
 
 Both types are called initial conditions
 
 ***********************
 A bit deeper. For this problem, (b) was not actually necessary.
 You could have avoided this mathematical hack by not defining $$e[i,j]$$ for $$i > j$$ and changing the recurrence to
 
 $$e[i,j] = w[i,j] + \min\left( e[i+1,j], e[i,j-1], \min_{i < k < j} (e_[i,k-1]+e[ k+1,j])\right)$$
 
 Note that this new recurrence has peeled off the two cases of $$a_i$$ and $$a_j$$ being the tree roots and dealt with them separately. It's also mathematically correct and, possibly, more intuitively straightforward, but it's much harder to read. So, we prefer the version given in class.
 
 But, both versions are correct.",2,,"I believe that initial conditions refers to base conditions. In the image, that refers to e[i,j] = 0 for i>j and e[i,i] = f(ai) for all i.",0,,,3,,G,,,1,,,3,
265,432,https://piazza.com/class/kjv25fqyx8y513/post/211,COMP3711,question @211,concept_verification,0,General Question on Greedy Proof,"I understand the process of greedy proof, but I want to ask for clarification if my understanding is correct.
 
 In proving a greedy algorithm, we create(assume) an optimal solution which is different from greedy.
 
 Then, we find the first position where the optimal solution is different from the greedy solution.
 
 Then, we show that switching that element of optimal solution to greedy element is still optimal. This way, the length of the segment where greedy and optimal are identical has increased by 1.
 
 For the remaining parts, we repeat the process above again. We find the first position where greedy and optimal differs, and do the same process.
 
 Repeat the process until there is no element left. Here, we finally have an optimal solution which is exactly identical to greedy solution.
 
 I don't really get the final step. Once I show the first one or two steps of switching and changing optimal into greedy, can I just say that ""This process will terminate because we only have a limited amount of elements (n), and once this process terminates, greedy and optimal will be identical""?",0,Updated 3 years ago by Anonymous Scale,,"First. That is only one way of proving that greedy algorithms are correct.It works for some problems and not for others. For one thing, it requires that there be some natural way to order the elements of a solution. That's not always true. It wasn't true, for example, for Huffman coding and the interval partitioning problem.>I don't really get the final step. Once I show the first one or two steps of switching and >changing optimal into greedy, can I just say that ""This process will terminate because we only >have a limited amount of elements (n), and once this process terminates, greedy and optimal >will be identical""? I can't answer your question definitively because the actual phrasing depends upon how you have set up your proof.One way to do it is to A) Assume that greedy is not an optimal solution.B) Let $$G$$ be the greedy solution and $$O$$ be some optimal solution.C) Let $$d$$ be some ""similarity"" measure between $$G$$ and $$O$$ In your case, you are letting $$d$$ be the ""first place"" that $$G$$ and $$O$$ differD) Create a new optimal solution $$O'$$ whose similarity with $$G$$ is greater.E) You then need to explain that the similarity value is bounded and if it gets large enough (explaining what large enough is) then $$G=O$$In some problems (E) is obvious and in some (E ) needs to be explained in more detail.That really depends upon what your similarity measure is.This proof can also be done by contradiction. You can define a similarity measure and then say. If $$G$$ is not optimal let $$O$$ be an optimal solution that has the highest similarity measure with $$G$$. You can then show that there is an optimal $$O'$$ with higher similarity measure, leading to a contradiction.",1,,,,,"I, G",2,,O,,,,,procedure,3,
267,654,https://piazza.com/class/kjv25fqyx8y513/post/213,COMP3711,question @213,,0,Q2c,"In Problem 2c, what means by ""Write down your function calls""?",1,Updated 3 years ago by Loading...,,"It means writing down a sequence of calls to the Construct-BST function, each with specific parameters and the corresponding output.",1,,,,,,3,,I,,1,,,,3,
268,679,https://piazza.com/class/kjv25fqyx8y513/post/214,COMP3711,question @214,,0,"P3, the uniqueness of the formula",,0,Updated 3 years ago by Anonymous Calc,,No. There are an infinite number of possible solutions.,1,,,,,,3,,,,,,,,3,
270,126,https://piazza.com/class/kjv25fqyx8y513/post/217,COMP3711,question @217,clarification_on_typos,0,Typo in Optimal BST Notes?,"There seems to be a typo in p.19 of lecture note 13_DP_interval.pdf.
 
 The statement ""t=e[i,k-1]+e[k+1,j]+w[i,j]"" does not work in 2 cases:
 
 1) When k = 1, e[i,k-1] = e[i,0], which is not in the table e[1...n, 1...n];
 
 2) When k = n, e[k+1,j] = e[n+1,j], which is also not in the table e[1...n, 1...n].
 
 Therefore, if we want to write the similar code for HW3 P4 according to p.19, do we need to take care of these 2 cases and make some modification?
 
 Also, the recurrence on p.18 of the lecture note states that e[i,j] = 0 for i>j, which avoids the problem above. Just want to check whether the recurrence part is correct, so that we can just write the similar recurrence for HW3 P4 according to p.18 without fixing the bug.",0,Updated 3 years ago by Loading...,,"Yes. There was a small typo in the array parameters in the code
 Please see the answer in https://piazza.com/class/kjv25fqyx8y513?cid=209
 for more details
 
 
 As you noted the recurrence is correct.
 You just need to make sure that the array is defined correctly in your code to reflect this.",1,,,,,P,3,,P,1,,,,,3,
271,538,https://piazza.com/class/kjv25fqyx8y513/post/219,COMP3711,question @219,concept,0,Longest Common Subsequence - Space,"I was reviewing the longest common subsequence problem in the DP notes.

The space complexity is said to be Θ(m+n) if we do not need back tracking. I hope to confirm whether that means the arrays X[1,...,m] and Y[1,...,n], which store the characters, are dominating the space?

Thanks!",0,Updated 3 years ago by Anonymous Comp,,"Yes. The input is dominating the space.
 
 BUT, be aware that the $$\Theta(m+n)$$ space algorithm is very advanced and not something we teach in this class.",1,,,,,,3,,,,,,,,3,
280,659,https://piazza.com/class/kjv25fqyx8y513/post/231,COMP3711,question @231,,0,Q1a print,Could I use coding to print out the tree instead of hand drawing ?,0,Updated 3 years ago by Anonymous Scale,,"It is possible to print out the tree. But please note that the output has to look like a tree and all the nodes and edges must be properly labelled.
 
 This can be hard to write code to do and also requires work. It would be easier to draw it by hand and/or using a computer based drawing program.
 
 Another note is that if the final exam has similar questions, it may not be possible to do it by coding.",1,,,,,,3,,,,,,,,3,
281,759,https://piazza.com/class/kjv25fqyx8y513/post/232,COMP3711,question @232,,0,Do we need to show how we got the recurrence/initial conditions,"In Q4, do we need to show how we got the recurrence/initial conditions? or can we simply write it and justify its correctness?",0,Updated 3 years ago by Anonymous Calc,,"The instructions are very clear
 In (a) you state the recurrence
 In (b) you justify/prove correctness of the recurrence and initial conditions
 
 There is no place to tell a story about how you discovered it.
 
 The proof of correctness sin (b) is the explanation of why it is correct.",1,,,,,,3,,O,,,,,procedure,3,
287,0,https://piazza.com/class/kjv25fqyx8y513/post/240,COMP3711,question @240,,0,Q3b reference to lecture notes,"May I confirm that Question 3b asks us to reference to that last two pages of 13b_Matrix_Multiplication (p. 13 and 14) instead of page 9 and 10?

Thanks!",0,Updated 3 years ago by Anonymous Beaker,,"That is correct.
 
 We added some worked examples to the lecture notes and the page numbers get shifted.",1,,,,,,3,,,,,,,,3,
